Company name,Fyers symbol,BSE Code,Symbol
GREAVES COTTON LTD.,BSE:GREAVESCOT-A,501455,GREAVESCOT
MULLER & PHIPPS (INDIA) LTD.,BSE:MULLER-X,501477,MULLER
SPRINGFORM TECHNOLOGY LIMITED,BSE:SFTL-P,501479,SFTL
AMALGAMATED ELECTRICITY CO.LTD,BSE:AMALGAM-XT,501622,AMALGAM
ANAND PROJECTS LTD,BSE:ANANDPROJ-XT,501630,ANANDPROJ
INDIANIVESH LTD.,BSE:INDIANVSH-XT,501700,INDIANVSH
COASTAL CORPORATION LTD.,BSE:COASTCORP-B,501831,COASTCORP
CHOWGULE STEAMSHIPS LTD.,BSE:CHOWGULSTM-XT,501833,CHOWGULSTM
GLOBAL OFFSHORE SERVICES LTD.,BSE:GLOBOFFS-X,501848,GLOBOFFS
ASI INDUSTRIES LIMITED,BSE:ASIIL-X,502015,ASIIL
SAGAR CEMENTS LTD.,BSE:SAGCEM-B,502090,SAGCEM
HEMADRI CEMENTS LTD.,BSE:HEMACEM-X,502133,HEMACEM
DECCAN CEMENTS LTD.,BSE:DECCANCE-B,502137,DECCANCE
MANGALAM CEMENT LTD.,BSE:MANGLMCEM-B,502157,MANGLMCEM
NCL INDUSTRIES LTD.,BSE:NCLIND-B,502168,NCLIND
SAURASHTRA CEMENT LTD.,BSE:SAURASHCEM-B,502175,SAURASHCEM
SHREE DIGVIJAY CEMENT CO.LTD.,BSE:SHREDIGCEM-B,502180,SHREDIGCEM
BOROSIL RENEWABLES LIMITED,BSE:BORORENEW-A,502219,BORORENEW
LERTHAI FINANCE LIMITED,BSE:LERTHAI-XT,502250,LERTHAI
TRIVENI GLASS LTD.,BSE:TRIVENIGQ-X,502281,TRIVENIGQ
NILACHAL REFRACTORIES LTD.,BSE:NILACHAL-XT,502294,NILACHAL
ANDHRA PAPER LIMITED,BSE:ANDHRAPAP-B,502330,ANDHRAPAP
BALKRISHNA INDUSTRIES LTD.,BSE:BALKRISIND-A,502355,BALKRISIND
ORIENT PAPER & INDUSTRIES LTD.,BSE:ORIENTPPR-B,502420,ORIENTPPR
CITADEL REALTY AND DEVELOPERS,BSE:CITADEL-XT,502445,CITADEL
ROLLATAINERS LTD.,BSE:ROLLT-T,502448,ROLLT
SESHASAYEE PAPER & BOARDS LTD.,BSE:SESHAPAPER-B,502450,SESHAPAPER
NATH INDUSTRIES LIMITED,BSE:NATHIND-X,502587,NATHIND
VAPI ENTERPRISE LIMITED,BSE:VAPIENTER-X,502589,VAPIENTER
DCM LTD.,BSE:DCM-B,502820,DCM
GAEKWAR MILLS LTD.,BSE:ZGAEKWAR-X,502850,ZGAEKWAR
FORBES & COMPANY LTD.,BSE:FORBESCO-X,502865,FORBESCO
H.P.COTTON TEXTILE MILLS LTD.,BSE:HPCOTTON-X,502873,HPCOTTON
UNITED INTERACTIVE LTD.,BSE:UNITEDINT-XT,502893,UNITEDINT
JAMSHRI REALTY LIMITED,BSE:JAMSHRI-XT,502901,JAMSHRI
KATARE SPINNING MILLS LTD.,BSE:KATRSPG-X,502933,KATRSPG
KESORAM INDUSTRIES LTD.,BSE:KESORAMIND-A,502937,KESORAMIND
LAKSHMI MILLS COMPANY LTD.,BSE:LAKSHMIMIL-X,502958,LAKSHMIMIL
VARDHMAN TEXTILES LTD.,BSE:VTL-A,502986,VTL
PENINSULA LAND LTD.,BSE:PENINLAND-B,503031,PENINLAND
PASUPATI SPG.& WVG.MILLS LTD.,BSE:PASUSPG-X,503092,PASUSPG
THE PHOENIX MILLS LTD,BSE:PHOENIXLTD-A,503100,PHOENIXLTD
MARATHON NEXTGEN REALTY LTD.,BSE:MARATHON-B,503101,MARATHON
RAJA BAHADUR INTERNATIONAL LTD,BSE:RAJABAH-X,503127,RAJABAH
